timestamp,seconds,minutes,hours,day,month,year,co2,co,PM,light,temp in c,pressure,humidity
1680046308.8637884,48,31,18,28,3,2023,970.7535400390625,0.10,3.3,352.0512,21.476447261869907,975.8678801000997,34.153615748750816
1680046312.5091717,52,31,18,28,3,2023,970.4522094726562,0.11,3.3,342.8352,21.476447261869907,975.8864155109,34.208711167803465
1680046316.1575773,56,31,18,28,3,2023,970.0441284179688,0.12,3.3,337.30559999999997,21.466315628797748,975.878245346842,34.225274269185185
1680046319.8080626,59,31,18,28,3,2023,969.8311767578125,0.10,3.3,352.0512,21.471381445188307,975.8248350366085,34.24729155884216
1680046323.45674,3,32,18,28,3,2023,968.7996826171875,0.11,3.3,355.7376,21.471381445188307,975.9131209134899,34.26925935839601
1680046327.1050599,7,32,18,28,3,2023,967.392333984375,0.11,3.3,355.7376,21.471381445188307,975.9131209134899,34.25825067604458
1680046330.7489364,10,32,18,28,3,2023,968.0257568359375,0.11,3.3,355.7376,21.476447261869907,975.8967801744443,34.26935804564324
1680046334.3976862,14,32,18,28,3,2023,967.9591064453125,0.10,3.2,355.7376,21.476447261869907,975.9212913297611,34.26920999972143
1680046338.044268,18,32,18,28,3,2023,967.9617309570312,0.10,3.1,355.7376,21.481513078842546,975.9398263336966,34.28577231561109
1680046341.692101,21,32,18,28,3,2023,968.386474609375,0.09,3.1,355.7376,21.471381445188307,975.8700752139509,34.296731865710974
1680046345.3396683,25,32,18,28,3,2023,968.9570922851562,0.09,3.1,353.8944,21.481513078842546,975.9212913297611,34.28572314584059
1680046348.98944,28,32,18,28,3,2023,967.3975830078125,0.09,3.2,353.8944,21.471381445188307,975.9049505283833,34.26925935839601
1680046352.6373448,32,32,18,28,3,2023,967.4152221679688,0.10,3.2,355.7376,21.476447261869907,975.9131209134899,34.274714390602966
1680046356.2902033,36,32,18,28,3,2023,967.2332153320312,0.10,3.3,355.7376,21.48657889610622,975.8493442959804,34.26916063101289
1680046359.9361343,39,32,18,28,3,2023,966.8303833007812,0.10,3.2,355.7376,21.481513078842546,975.8678801000997,34.26925935839601
1680046363.5821273,43,32,18,28,3,2023,965.9048461914062,0.11,3.3,353.8944,21.48657889610622,975.9828735194253,34.291227510196684
1680046367.2297199,47,32,18,28,3,2023,965.28955078125,0.11,3.3,353.8944,21.481513078842546,975.894585706122,34.302285193251684
1680046370.8793538,50,32,18,28,3,2023,966.6918334960938,0.11,3.2,353.8944,21.491644713660936,975.9376322557913,34.307789468115324
1680046374.5270479,54,32,18,28,3,2023,966.9297485351562,0.11,3.1,355.7376,21.481513078842546,975.9479969710172,34.313244879202955
1680046378.1774397,58,32,18,28,3,2023,967.0502319335938,0.11,3.1,355.7376,21.48657889610622,975.910926190052,34.307642684310196
1680046381.8224845,1,33,18,28,3,2023,967.7042846679688,0.10,3.2,353.8944,21.491644713660936,975.894585706122,34.31874919934999
1680046385.4654708,5,33,18,28,3,2023,969.0512084960938,0.10,3.2,353.8944,21.481513078842546,975.910926190052,34.296633747938465
1680046389.1150272,9,33,18,28,3,2023,969.7976684570312,0.09,3.2,355.7376,21.481513078842546,975.9376322557913,34.296633747938465
1680046392.7681699,12,33,18,28,3,2023,968.6158447265625,0.10,3.2,355.7376,21.48657889610622,975.9643383391482,34.28012027706425
1680046396.4152305,16,33,18,28,3,2023,969.0057373046875,0.10,3.2,355.7376,21.491644713660936,975.876050105435,34.28016952987043
1680046400.0633247,20,33,18,28,3,2023,969.0228881835938,0.10,3.2,355.7376,21.481513078842546,975.9190964787557,34.291080129584714
1680046403.7146223,23,33,18,28,3,2023,969.624267578125,0.10,3.2,355.7376,21.48657889610622,975.8575141114256,34.28012027706425
1680046407.3614376,27,33,18,28,3,2023,969.3881225585938,0.10,3.1,355.7376,21.481513078842546,975.8656839580284,34.26906186349384
1680046411.0092366,30,33,18,28,3,2023,969.1331176757812,0.10,3.2,355.7376,21.496710531506686,975.9294617771957,34.252647216411454
1680046414.658096,34,33,18,28,3,2023,969.1187133789062,0.10,3.2,355.7376,21.48657889610622,975.910926190052,34.24158853554686
1680046418.305157,38,33,18,28,3,2023,968.0743408203125,0.09,3.1,355.7376,21.481513078842546,975.9212913297611,34.23608396567551
1680046421.9561195,41,33,18,28,3,2023,968.3206176757812,0.09,3.1,353.8944,21.48657889610622,975.876050105435,34.214115606204324
1680046425.6018841,45,33,18,28,3,2023,967.7128295898438,0.09,3.2,355.7376,21.496710531506686,975.9458027655461,34.225174554363974
1680046429.2478921,49,33,18,28,3,2023,968.3592529296875,0.11,3.2,355.7376,21.491644713660936,975.9376322557913,34.23047971780736
1680046432.8969328,52,33,18,28,3,2023,968.9978637695312,0.11,3.2,355.7376,21.496710531506686,975.9458027655461,34.23598442246036
1680046436.5455987,56,33,18,28,3,2023,967.9410400390625,0.12,3.2,355.7376,21.501776349643478,975.9272667986161,34.203056360760904
1680046440.1913662,0,34,18,28,3,2023,967.7459716796875,0.10,3.3,355.7376,21.50684216807131,975.9354371496303,34.164624893028154
1680046443.8386915,3,34,18,28,3,2023,nan,0.10,3.7,353.8944,21.496710531506686,975.9458027655461,34.13154641111394
1680046447.490977,7,34,18,28,3,2023,966.9866943359375,0.09,3.7,353.8944,21.501776349643478,975.9272667986161,34.10386907022533
1680046451.1353683,11,34,18,28,3,2023,966.1892700195312,0.10,3.8,355.7376,21.491644713660936,975.88422014193,34.087302806156906
1680046454.7874382,14,34,18,28,3,2023,nan,0.10,3.8,355.7376,21.496710531506686,975.9376322557913,34.065437913924804
1680046458.4310238,18,34,18,28,3,2023,964.6260375976562,0.12,3.8,355.7376,21.496710531506686,975.9272667986161,33.99927413749575
1680046462.0830195,22,34,18,28,3,2023,964.8438110351562,0.12,3.8,355.7376,21.50684216807131,975.9190964787557,33.99382160009395
1680046465.7299812,25,34,18,28,3,2023,nan,0.10,3.8,355.7376,21.501776349643478,975.9888506250371,33.98270617283453
1680046469.3793252,29,34,18,28,3,2023,964.82568359375,0.10,3.8,355.7376,21.501776349643478,975.9272667986161,33.97725374489744
1680046473.0284846,33,34,18,28,3,2023,963.8672485351562,0.09,3.8,355.7376,21.501776349643478,975.9806798319181,33.97725374489744
1680046476.6788638,36,34,18,28,3,2023,962.7350463867188,0.10,3.8,353.8944,21.491644713660936,975.9806798319181,33.94972805519059
1680046480.3309147,40,34,18,28,3,2023,962.473876953125,0.10,3.8,353.8944,21.50684216807131,975.9888506250371,33.92214876816124
1680046483.9798467,43,34,18,28,3,2023,961.6524658203125,0.10,3.9,353.8944,21.50684216807131,975.9888506250371,33.92765403098201
1680046487.632309,47,34,18,28,3,2023,960.9100952148438,0.12,4.0,355.7376,21.50684216807131,975.9087304383545,33.91119171821099
1680046491.2790284,51,34,18,28,3,2023,959.7271118164062,0.10,4.0,353.8944,21.50684216807131,975.9190964787557,33.91664349649765
1680046494.9274704,54,34,18,28,3,2023,958.594482421875,0.10,4.0,353.8944,21.501776349643478,975.8820237446969,33.9000739902312
1680046498.581251,58,34,18,28,3,2023,958.8958740234375,0.12,4.0,355.7376,21.50684216807131,975.9087304383545,33.92765403098201
1680046502.2250106,2,35,18,28,3,2023,958.7960815429688,0.10,3.9,353.8944,21.511907986790174,975.9169005994688,33.92214876816124
1680046505.8717875,5,35,18,28,3,2023,955.8248291015625,0.10,3.9,353.8944,21.511907986790174,975.9169005994688,33.92209538186888
1680046509.5179076,9,35,18,28,3,2023,953.8069458007812,0.10,4.4,355.7376,21.511907986790174,975.9169005994688,33.916590047224
1680046513.161992,13,35,18,28,3,2023,953.5460205078125,0.11,4.4,353.8944,21.50684216807131,975.9354371496303,33.905525766132904
1680046516.807761,16,35,18,28,3,2023,953.6970825195312,0.09,4.4,353.8944,21.51697380580008,975.9517779451147,33.91642963919077
1680046520.455794,20,35,18,28,3,2023,953.3084106445312,0.10,4.4,353.8944,21.511907986790174,975.9169005994688,33.89451490897793
1680046524.107207,24,35,18,28,3,2023,952.2198486328125,0.10,4.5,353.8944,21.50684216807131,975.8553170686579,33.872439115346936
1680046527.756335,27,35,18,28,3,2023,952.004150390625,0.09,4.5,353.8944,21.522039625101023,975.9332410151447,33.80637204930014
1680046531.4072294,31,35,18,28,3,2023,951.6001586914062,0.10,4.6,353.8944,21.522039625101023,975.8798263191318,33.800866402980624
1680046535.0579154,35,35,18,28,3,2023,951.6948852539062,0.10,4.5,353.8944,21.522039625101023,975.9332410151447,33.79536074781769
1680046538.7043145,38,35,18,28,3,2023,950.2711791992188,0.11,4.6,353.8944,21.51697380580008,975.8798263191318,33.76783233935155
1680046542.350927,42,35,18,28,3,2023,947.9493408203125,0.12,4.5,353.8944,21.51697380580008,975.8983636559706,33.77339314566162
1680046545.9996178,45,35,18,28,3,2023,946.5548095703125,0.11,4.5,353.8944,21.522039625101023,975.9517779451147,33.73485350520082
1680046549.6475148,49,35,18,28,3,2023,945.61279296875,0.10,4.5,353.8944,21.522039625101023,975.8820237446969,33.74047013425274
1680046553.2946036,53,35,18,28,3,2023,942.5353393554688,0.10,4.2,353.8944,21.522039625101023,975.8798263191318,33.74030370979972
1680046556.9400923,56,35,18,28,3,2023,942.7703857421875,0.09,4.2,353.8944,21.51697380580008,975.8798263191318,33.72378642594749
1680046560.5867298,0,36,18,28,3,2023,940.0581665039062,0.11,4.2,353.8944,21.522039625101023,975.890193684759,33.70738077803775
1680046564.2312493,4,36,18,28,3,2023,939.2823486328125,0.11,4.1,353.8944,21.522039625101023,975.8798263191318,33.69075161947046
1680046567.8776202,7,36,18,28,3,2023,939.938232421875,0.10,4.1,353.8944,21.522039625101023,975.8531189975542,33.69075161947046
1680046571.5274353,11,36,18,28,3,2023,940.4622802734375,0.09,4.4,355.7376,21.527105444693007,975.8531189975542,33.66872823828389
1680046575.1732624,15,36,18,28,3,2023,940.496826171875,0.09,4.4,355.7376,21.527105444693007,975.861288588951,33.679683758794866
1680046578.8275137,18,36,18,28,3,2023,940.345703125,0.11,4.4,353.8944,21.522039625101023,975.8798263191318,33.652267102223966
1680046582.475145,22,36,18,28,3,2023,939.7576904296875,0.10,4.4,355.7376,21.522039625101023,975.9065336583287,33.63557950777112
1680046586.1217473,26,36,18,28,3,2023,937.8328857421875,0.09,4.3,355.7376,21.527105444693007,975.9414112697027,33.624624233745486
1680046589.7675235,29,36,18,28,3,2023,937.398193359375,0.10,4.3,355.7376,21.527105444693007,975.861288588951,33.619175113273556
1680046593.4175308,33,36,18,28,3,2023,935.4873046875,0.10,4.3,355.7376,21.522039625101023,975.8798263191318,33.624681051426194
1680046597.0659952,37,36,18,28,3,2023,933.8341064453125,0.10,4.3,355.7376,21.53217126457603,975.8427504654233,33.60804918708517
1680046600.714185,40,36,18,28,3,2023,nan,0.10,4.3,355.7376,21.527105444693007,975.8345810639393,33.60816321043799
1680046604.3634102,44,36,18,28,3,2023,932.7606201171875,0.11,4.3,355.7376,21.527105444693007,975.8078735565474,33.60271430536945
1680046608.0134683,47,36,18,28,3,2023,931.98486328125,0.11,4.3,353.8944,21.53217126457603,975.8427504654233,33.90525768924026
1680046611.6615043,51,36,18,28,3,2023,nan,0.11,4.4,353.8944,21.527105444693007,975.9310438522666,33.56394268342806
1680046615.3127115,55,36,18,28,3,2023,930.060546875,0.12,4.3,353.8944,21.53217126457603,975.9228737564788,33.541975515368
1680046618.9591336,58,36,18,28,3,2023,927.7167358398438,0.10,3.8,353.8944,21.542302905215184,975.8939672659337,33.5307893568725
1680046622.6043723,2,37,18,28,3,2023,nan,0.10,3.8,353.8944,21.537237084750085,975.9125057557775,33.54185994001185
1680046626.2512848,6,37,18,28,3,2023,925.8845825195312,0.10,3.8,353.8944,21.542302905215184,975.8323811912533,33.52534094512301
1680046629.8962007,9,37,18,28,3,2023,925.3893432617188,0.12,3.8,353.8944,21.542302905215184,975.850919898047,33.514386345317945
1680046633.5414152,13,37,18,28,3,2023,926.4598999023438,0.09,4.1,353.8944,21.542302905215184,975.9125057557775,33.51983459580493
1680046637.189645,17,37,18,28,3,2023,927.2833251953125,0.10,4.0,353.8944,21.542302905215184,975.8487197700666,33.492185967115674
1680046640.8414402,20,37,18,28,3,2023,929.3094482421875,0.10,3.9,355.7376,21.552434547018493,975.9288456609268,33.492185967115674
1680046644.486103,24,37,18,28,3,2023,928.7442626953125,0.10,3.9,353.8944,21.542302905215184,975.8590893618076,33.508821870636055
1680046648.1313326,28,37,18,28,3,2023,927.813232421875,0.11,3.8,355.7376,21.547368725971317,975.9473841372566,33.492302716550974
1680046651.7805936,31,37,18,28,3,2023,926.6399536132812,0.11,3.8,353.8944,21.557500368356706,975.8835979398923,33.459146664178505
1680046655.4354324,35,37,18,28,3,2023,925.3274536132812,0.10,3.8,355.7376,21.557500368356706,975.8301802900693,33.464711931503956
1680046659.078502,39,37,18,28,3,2023,923.9197387695312,0.11,3.9,355.7376,21.542302905215184,975.8590893618076,33.44819237616195
1680046662.7299137,42,37,18,28,3,2023,922.9763793945312,0.12,3.8,355.7376,21.542302905215184,975.8323811912533,33.42060040832067
1680046666.3772244,46,37,18,28,3,2023,921.697265625,0.11,3.8,355.7376,21.547368725971317,975.9206756927848,33.41527151999741
1680046670.0227726,50,37,18,28,3,2023,921.0699462890625,0.09,3.8,355.7376,21.552434547018493,975.9021370130191,33.38756041550155
1680046673.6743224,53,37,18,28,3,2023,920.0812377929688,0.10,3.8,353.8944,21.552434547018493,975.9021370130191,33.39306710308299
1680046677.324261,57,37,18,28,3,2023,919.2698974609375,0.10,4.2,353.8944,21.552434547018493,975.9021370130191,33.382053719075444
1680046680.970304,0,38,18,28,3,2023,919.88671875,0.10,3.8,353.8944,21.552434547018493,975.9288456609268,33.371040299689334
1680046684.6240985,4,38,18,28,3,2023,918.9034423828125,0.10,3.8,353.8944,21.552434547018493,975.9021370130191,33.238876507528204
1680046688.2734904,8,38,18,28,3,2023,919.0921020507812,0.10,3.8,353.8944,21.552434547018493,975.8754283827325,33.36002684492466
1680046691.9228709,11,38,18,28,3,2023,918.7510375976562,0.10,3.8,355.7376,21.552434547018493,975.8835979398923,33.354460139510344
1680046695.5722492,15,38,18,28,3,2023,917.6821899414062,0.10,3.8,353.8944,21.557500368356706,975.8405504650935,33.349073372511114
1680046699.2198124,19,38,18,28,3,2023,915.9329223632812,0.09,3.9,355.7376,21.542302905215184,975.8323811912533,33.36014661833775
1680046702.8683777,22,38,18,28,3,2023,915.4732055664062,0.10,3.9,355.7376,21.552434547018493,975.8835979398923,33.34895332701411
1680046706.5160823,26,38,18,28,3,2023,915.4024658203125,0.10,3.9,353.8944,21.562566189985954,975.8487197700666,33.371040299689334
1680046710.1633487,30,38,18,28,3,2023,914.2420654296875,0.11,3.9,353.8944,21.557500368356706,975.8754283827325,33.34901335478143
1680046713.8113606,33,38,18,28,3,2023,913.8426513671875,0.11,3.9,353.8944,21.562566189985954,975.8835979398923,33.34895332701411
1680046717.4639394,37,38,18,28,3,2023,913.3751220703125,0.10,3.9,355.7376,21.557500368356706,975.8754283827325,33.37654701380471
1680046721.1117373,41,38,18,28,3,2023,913.1961059570312,0.11,3.9,353.8944,21.557500368356706,975.8835979398923,33.354520104275366
1680046724.761153,44,38,18,28,3,2023,912.5831298828125,0.11,3.9,355.7376,21.562566189985954,975.8754283827325,33.37654701380471
1680046728.4056935,48,38,18,28,3,2023,912.35107421875,0.11,3.8,353.8944,21.562566189985954,975.8383494362446,33.376427578251466
1680046732.0461755,52,38,18,28,3,2023,911.665771484375,0.09,3.9,353.8944,21.552434547018493,975.9021370130191,33.354520104275366
1680046735.6950827,55,38,18,28,3,2023,911.53515625,0.09,4.1,353.8944,21.562566189985954,975.9184766005826,33.376487301046865
1680046739.3473165,59,38,18,28,3,2023,911.6248168945312,0.10,4.2,355.7376,21.562566189985954,975.8917675281816,33.370860942298634
1680046742.9914725,2,39,18,28,3,2023,912.6396484375,0.10,4.0,355.7376,21.557500368356706,975.8568891061702,33.34889328920914
1680046746.6413903,6,39,18,28,3,2023,912.5881958007812,0.10,4.0,355.7376,21.562566189985954,975.8917675281816,33.37654701380471
1680046750.2884743,10,39,18,28,3,2023,912.5983276367188,0.10,4.0,355.7376,21.552434547018493,975.9021370130191,33.354520104275366
1680046753.9372284,13,39,18,28,3,2023,913.4161376953125,0.11,4.1,355.7376,21.557500368356706,975.9103067912358,33.34350659644285
1680046757.588608,17,39,18,28,3,2023,nan,0.10,4.2,355.7376,21.547368725971317,975.8672588567034,33.33249305323178
1680046761.2371655,21,39,18,28,3,2023,914.749755859375,0.10,4.2,355.7376,21.562566189985954,975.9718947982491,33.3928885017068
1680046764.8860226,24,39,18,28,3,2023,914.0068969726562,0.10,4.3,355.7376,21.567632011906245,975.8487197700666,33.32147947464214
1680046768.5352504,28,39,18,28,3,2023,nan,0.10,4.3,355.7376,21.562566189985954,975.873227871761,33.32129841618334
1680046772.1838012,32,39,18,28,3,2023,915.3126220703125,0.10,4.2,355.7376,21.567632011906245,975.9615258447966,33.33225212590381
1680046775.829878,35,39,18,28,3,2023,913.531982421875,0.11,4.4,355.7376,21.567632011906245,975.899937147598,33.32129841618334
1680046779.479014,39,39,18,28,3,2023,nan,0.12,4.4,355.7376,21.567632011906245,975.8465186135456,33.326805398910466
1680046783.127185,43,39,18,28,3,2023,911.916015625,0.11,4.4,355.7376,21.562566189985954,975.8650584734024,33.32135877904069
