timestamp,seconds,minutes,hours,day,month,year,co2,co,PM1,PM2,light,temp in c,pressure,humidity
1680113427.8570445,13,6,14,29,3,2023,621.8193969726562,0.11,3.4,3.2,49.7664,21.744935962470482,974.8500643585292,24.47088522873218
1680113431.5061743,17,6,14,29,3,2023,621.853759765625,0.11,3.4,3.2,49.7664,21.750001794868147,974.831507690835,24.388195404828476
1680113435.1524308,21,6,14,29,3,2023,622.1519165039062,0.09,3.4,3.2,49.7664,21.750001794868147,974.7513587384861,24.29998188095391
1680113438.799178,24,6,14,29,3,2023,621.4383544921875,0.09,3.6,3.2,49.7664,21.73987013036385,974.8151887939492,24.388358387789918
1680113442.4464426,28,6,14,29,3,2023,621.2022094726562,0.09,3.6,3.2,49.7664,21.73987013036385,974.7884729009966,24.283246847340013
1680113446.0951195,32,6,14,29,3,2023,620.33935546875,0.09,3.6,3.5,49.7664,21.750001794868147,974.8582240435487,24.26131644661761
1680113449.739403,35,6,14,29,3,2023,nan,0.11,3.6,3.3,49.7664,21.734804298548262,974.8070293920433,24.233698013670978
1680113453.3940477,39,6,14,29,3,2023,619.8860473632812,0.10,3.9,3.3,49.7664,21.73987013036385,974.7884729009966,24.195031835756712
1680113457.034058,43,6,14,29,3,2023,619.5479125976562,0.09,3.8,3.4,49.7664,21.755067627556855,974.8129506296642,24.200225319237987
1680113460.6802104,46,6,14,29,3,2023,nan,0.10,3.9,3.4,49.7664,21.755067627556855,974.7780750383038,24.25546376170327
1680113464.3312333,50,6,14,29,3,2023,619.584228515625,0.11,3.8,3.4,49.7664,21.750001794868147,974.7535980658968,24.305669401902186
1680113467.979123,54,6,14,29,3,2023,619.614501953125,0.12,3.9,3.1,49.7664,21.73987013036385,974.831507690835,24.32174872412857
1680113471.6309388,57,6,14,29,3,2023,nan,0.10,3.9,3.2,47.9232,21.750001794868147,974.831507690835,24.426697307567302
1680113475.2814424,1,7,14,29,3,2023,617.6325073242188,0.12,3.9,3.2,47.9232,21.734804298548262,974.8129506296642,24.4541525815392
1680113478.930481,5,7,14,29,3,2023,617.8120727539062,0.10,3.8,3.2,47.9232,21.744935962470482,974.7454391371446,24.42734744599789
1680113482.579569,8,7,14,29,3,2023,nan,0.09,3.9,3.2,49.7664,21.734804298548262,974.7535980658968,24.487941082183028
1680113486.2289543,12,7,14,29,3,2023,619.1443481445312,0.09,3.4,2.9,49.7664,21.734804298548262,974.8233482268805,24.410289430777187
1680113489.8835273,16,7,14,29,3,2023,618.1065673828125,0.09,3.2,3.0,49.7664,21.734804298548262,974.7001668102749,24.322239952991232
1680113493.5324113,19,7,14,29,3,2023,619.0946655273438,0.09,3.2,3.0,49.7664,21.734804298548262,974.7001668102749,24.350020767235087
1680113497.181171,23,7,14,29,3,2023,618.8871459960938,0.10,3.2,3.0,47.9232,21.734804298548262,974.7164838766039,24.28893465826128
1680113500.8286202,26,7,14,29,3,2023,617.8582153320312,0.11,3.2,3.0,47.9232,21.73987013036385,974.7884729009966,24.294458274033655
1680113504.4732645,30,7,14,29,3,2023,616.881103515625,0.09,3.2,2.8,49.7664,21.734804298548262,974.8070293920433,24.344333897183127
1680113508.1228044,34,7,14,29,3,2023,617.2794189453125,0.09,3.2,2.8,49.7664,21.744935962470482,974.7699160164786,24.338483328583116
1680113511.7706769,37,7,14,29,3,2023,616.7281494140625,0.11,3.2,2.8,49.7664,21.73987013036385,974.7083253279279,24.267004472877336
